country,mined_raw_mat,unit,2018,2019,2020,2021,2022
Brazil,Tin,(t),17591.0,14867.0,16893.0,15517.0,17019.0
Brazil,Zinc,(t),169773.0,163403.0,174332.0,159913.0,155177.0
Brazil,Gold,(kg),85198.0,89988.0,98922.0,93103.0,83300.0
Brazil,Silver,(kg),49600.0,50000.0,68430.0,71540.0,74650.0
Brazil,Asbestos,(t),111439.0,12205.0,77057.0,172256.0,182965.0
Brazil,Baryte,(t),9377.0,9223.0,1849.0,361.0,4931.0
Brazil,Bentonite,(t),500000.0,403763.0,217055.0,220000.0,220000.0
Brazil,Diam. (Gem),(ct),82810.0,53240.0,41320.0,46670.0,45490.0
Brazil,Diam. (Ind),(ct),168130.0,108085.0,83890.0,94760.0,92350.0
Brazil,Diatomite,(t),20562.0,17673.0,35574.0,10665.0,35844.0
Brazil,Feldspar,(t),592284.0,632349.0,450573.0,491042.0,756364.0
Brazil,Fluorspar,(t),28195.0,24399.0,24730.0,28158.0,28969.0
Brazil,Graphite,(t),78981.0,81770.0,67020.0,78555.0,79372.0
Brazil,Gypsum,(t),2666002.0,2842654.0,2851643.0,3260209.0,3203474.0
Brazil,Kaolin,(t),1685255.0,1471610.0,1239591.0,1153884.0,1189531.0
Brazil,Magnesite,(t),1900000.0,1530000.0,1550000.0,1800000.0,1700000.0
Brazil,Phosphates,(t),1980300.0,1828500.0,1827900.0,1793000.0,1869300.0
Brazil,Potash,(t),201181.0,248911.0,254837.0,213028.0,299636.0
Brazil,Salt,(t),7227300.0,6700500.0,6464300.0,6534300.0,7000000.0
Brazil,Sulfur,(t),450000.0,460000.0,450000.0,435000.0,519600.0
Brazil,Talc,(t),660000.0,650000.0,650000.0,660000.0,700000.0
Brazil,Vermiculite,(t),56708.0,47581.0,58821.0,70500.0,70913.0
Brazil,Zircon,(t),17844.0,17136.0,10994.0,6482.0,6513.0
Brazil,Steam Coal,(t),3568760.0,3812975.0,3171509.0,4768003.0,3473384.0
Brazil,Lignite,(t),1422500.0,1596696.0,2309404.0,1896525.0,2648783.0
