Name,Ticker / Market Capitalization,Project Stage,Commodity,Location,Website
Southern Cross Britannia,Private,Exploration,"Copper, Gold, Lithium, Uranium",Argentina,https://southerncross-exploration.com/
Space Solar,,,,,https://www.spacesolar.co.uk/
Stakeholder Gold,TSXV: SRC,Exploration,"Gold, Copper , Quartzite","Brazil, Canada",https://stakeholdergold.com/
Stellar Resources Limited,ASX: SRZ - $42M (AUD),Exploration,Tin,Australia,https://www.stellarresources.com.au/
Steppe Gold,TSX: STGO - $66M (CAD),"Exploration, Production, Development","Gold, Silver",Mongolia,https://steppegold.com/
SULIS GREEN FUTURE MINERALS AS,Private,Exploration,"Gold, Copper, Silver",Norway,https://sgfm.no/about
Surge Copper,"TSXV: SURG - $42M (CAD), OTC: SRGXF",Exploration,"Copper, Gold, Silver , Molybdenum","British Columbia, Canada",https://surgecopper.com/
Tempest Minerals Ltd,ASX: TEM - $4M (AUD),Exploration,"Copper, Gold, Lithium, Iron Ore",Western Australia,https://tempestminerals.com/
The Mosaic Company,NYSE: MOS,Production,"Potash, Phosphate",South America,https://thorexpl.com/
Thor Exploration Ltd,AIM: THX - $1M (GBP),"Production, Exploration",Gold,"Nigeria, Senegal & Burkina Faso",https://mosaicco.com/
Trisector OÜ,,,,,https://trisector.ee/
Tungsten West,LSE: TUN,Development,"Tungsten, Tin","South Devon, UK",https://www.tungstenwest.com/
US Gold Corp,NASDAQ: USAU - $59M (USD),"Exploration, Development",Gold,USA,https://www.usgoldcorp.gold/
Vale,NYSE: VALE,Exploration,"Iron Ore, Nickel, Cobalt, Platinum","Canada, United Kingdom, Brazil, Japan, Indonesia",https://vale.com/
Vision Lithium,TSXV: VLI - $7M (CAD),Exploration,"Lithium, Zinc","Quebec, Manitoba, Canada",https://visionlithium.com/
Viva Gold Corp,TSXV: VAU - $19M (CAD),Exploration,Gold,"Nevada, USA",https://vivagoldcorp.com/
Western Mines Group,ASX: WMG - $22M (AUD),Exploration,Nickel,Australia,https://www.westernmines.com.au/
Xanadu Mines Limited,ASX: XAM - $99M (AUD),Exploration,"Copper, Gold",Mongolia,https://www.xanadumines.com/
